Number,Priority,Requested for,Configuration item,Short description,State,Assignment group,Assigned to,Child Incidents,Updated,Updated by,Category,Resolution notes,Detailed description,Work notes,Closed by,Created by,Opened by,Reassignment count,Resolved by,Created,Resolved,Resolve time,Days Open
INC1559844,4 - Low,CSDT CSDT,GenerateUmFiles,Tidal PRD | GenerateUmFiles | 20526111 | has status of Orphaned,Closed,MgdSvc-ITCS - UM Integration,Bhuvaneshwaran Saravanan,0,11-12-2025 11:00:00 AM,ldao,Incident,,"Please determine if the job has completed on the server or if further action needs to be taken by IT Operations. If the job is still active, you can close this ticket indicating the job is still active.    Either way, please create an INCTASK off of this ticket to have IT Operations take the required action - such as setting the job as Completed Normally or rerunning the job.","10/30/2025 11:37:20 AM - Bhuvaneshwaran Saravanan (Work notes)
The tidal job became orphaned because the tidal agent did not respond to the tidal master with the status of the process, possibly due to a failure, crash, or network issue. As a result, the tidal master was left without knowing the status of the job assigned to the agent. Once the job was relaunched, it executed successfully in the subsequent run and completed its task normally

10/25/2025 11:21:18 PM - Tony Reynolds (Work notes)
Task auto-reassigned to Managed Services team

10/25/2025 11:15:19 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",,CSDT,CSDT CSDT,1,Bhuvaneshwaran Saravanan,10-25-2025 11:15:19 PM,10-30-2025 11:37:20 AM,390121,18
INC1486098,4 - Low,CSDT CSDT,CreateAssessmentInGuidingCare,PRD Tidal Job CreateAssessmentInGuidingCare | 19882705 | Completed Abnormally,Closed,ITCS - Care Management,Dudekula Ahmad,0,06-27-2025 04:00:02 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/16/2025 10:22:34 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/16/2025 06:40:21 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/16/2025 06:40:21 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT CSDT,CSDT CSDT,1,Dudekula Ahmad,06-16-2025 06:40:21 AM,06-17-2025 07:33:29 AM,89588,11
INC1572300,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20662470 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Divya Suma Pentamraju,0,12-12-2025 09:23:02 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/14/2025 08:57:00 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

11/14/2025 08:57:00 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,11-14-2025 08:57:00 AM,11-18-2025 05:52:58 PM,377758,18
INC1559806,4 - Low,CSDT CSDT,AssessmentNeededMembersFromFacetsEDW2,PRD Tidal Job AssessmentNeededMembersFromFacetsEDW2 | 20516381 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Gaurav Singh,1,11-10-2025 04:00:00 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/28/2025 06:36:59 AM - Gaurav Singh (Work notes)
Error as below :

Error: 2025-10-25 23:06:53.17
   Code: 0x00000000
   Source: Update Last Outcome in AssessmentNeededAlert 
   Description: TCP Provider: The specified network name is no longer available.
End Error
Error: 2025-10-25 23:06:53.18
   Code: 0xC002F210
   Source: Update Last Outcome in AssessmentNeededAlert Execute SQL Task
   Description: Executing the query ""EXEC [dbo].[proc_UpdateLastOutcomeForAlert] ?, ?"" failed with the following error: ""Communication link failure"". Possible failure reasons: Problems with the query, ""ResultSet"" property not set correctly, parameters not set correctly, or connection not established correctly.
End Error

10/25/2025 11:06:56 PM - CSDT CSDT (Work notes)
Parent:\CTS\SSIS | Agent: DAYPRDCISAPP11

10/25/2025 11:06:56 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Gaurav Singh,10-25-2025 11:06:56 PM,10-29-2025 05:36:02 AM,282546,16
INC1579897,4 - Low,CSDT CSDT,CotivitiProcessAcknowledgmentFile,PRD Tidal Job CotivitiProcessAcknowledgmentFile | 20737319 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Shivani Fulara,0,12-12-2025 09:20:29 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"12/02/2025 02:06:03 AM - Shivani Fulara (Work notes)
Duplicate ticket INC1580082

11/29/2025 05:46:36 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

11/29/2025 05:46:36 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,1,Shivani Fulara,11-29-2025 05:46:36 PM,12-02-2025 02:06:03 AM,202767,13
INC1586133,4 - Low,CSDT CSDT,CreateVendorInboundGCComplaint,PRD Tidal Job CreateVendorInboundGCComplaint | 20750204 | Completed Abnormally,Resolved,MgdSvc-ITCS - Grievance and Appeals,Sairam Govindarajulu,0,12-12-2025 09:20:51 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"12/09/2025 02:44:06 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

12/09/2025 02:44:06 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Sairam Govindarajulu,12-09-2025 02:44:06 PM,12-10-2025 09:22:51 AM,67125,13
INC1485972,4 - Low,CSDT CSDT,ExportAssessmentsToACOFromGCToJSON,PRD Tidal Job ExportAssessmentsToACOFromGCToJSON | 19882621 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Harikrishna Chalamala,0,06-26-2025 04:01:33 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/16/2025 01:10:34 AM - CSDT CSDT (Work notes)
Parent:\CTS\SSIS | Agent: DAYPRDCISAPP11

06/16/2025 01:10:34 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,1,Harikrishna Chalamala,06-16-2025 01:10:34 AM,06-16-2025 04:07:02 AM,10588,10
INC1547199,4 - Low,CSDT CSDT,ProcessTocCases,PRD Tidal Job ProcessTocCases | 20418973 | Completed Abnormally,Closed,MgdSvc-ITCS - UM Integration,Jagan Mohan,0,10-27-2025 11:00:01 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/03/2025 07:13:17 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

10/03/2025 07:13:17 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",,CSDT,CSDT CSDT,0,Jagan Mohan,10-03-2025 07:13:17 AM,10-06-2025 03:14:49 AM,244892,24
INC1494171,4 - Low,CSDT CSDT,CreateNotesInGuidingCare,PRD Tidal Job CreateNotesInGuidingCare | 19978515 | Completed Abnormally,Closed,ITCS - Care Management,Dudekula Ahmad,0,07-11-2025 04:01:47 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/30/2025 06:35:55 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/30/2025 06:35:29 AM - Tony Reynolds (Work notes)
Work notes from INCTASK0278839:

reran

06/29/2025 01:00:16 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/29/2025 01:00:16 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT CSDT,CSDT CSDT,1,Dudekula Ahmad,06-29-2025 01:00:16 AM,06-30-2025 06:44:38 AM,107062,12
INC1572401,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20662616 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Divya Suma Pentamraju,0,12-12-2025 09:23:01 PM,system,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"11/14/2025 10:36:40 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

11/14/2025 10:36:40 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Divya Suma Pentamraju,11-14-2025 10:36:40 AM,11-14-2025 05:01:16 PM,23076,14
INC1486808,4 - Low,CSDT CSDT,CreateAssessmentInGuidingCare,PRD Tidal Job CreateAssessmentInGuidingCare | 19886975 | Completed Abnormally,Closed,MgdSvc-ITCS - Care Management,Dudekula Ahmad,0,06-27-2025 04:01:25 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/17/2025 12:40:11 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/17/2025 12:40:11 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,06-17-2025 12:40:11 AM,06-17-2025 07:32:12 AM,24721,10
INC1522801,4 - Low,CSDT CSDT,CreateVendorInboundDocGCComplaintDocLoad,PRD Tidal Job CreateVendorInboundDocGCComplaintDocLoad | 20198941 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Prasanthkumar Vaddi,0,09-03-2025 04:00:00 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/19/2025 08:18:14 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/19/2025 08:18:14 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Prasanthkumar Vaddi,08-19-2025 08:18:14 AM,08-21-2025 03:38:10 AM,155996,15
INC1513476,4 - Low,CSDT CSDT,CotivitiProcessAcknowledgmentFile,PRD Tidal Job CotivitiProcessAcknowledgmentFile | 20149641 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Dudekula Ahmad,0,08-14-2025 04:07:16 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/04/2025 05:02:40 AM - Susan Stasik (Work notes)
Work notes from INCTASK0284112:

The job has been restarted.

08/01/2025 11:46:34 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/01/2025 11:46:34 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,08-01-2025 11:46:34 AM,08-04-2025 06:55:24 AM,241730,13
INC1485584,4 - Low,CSDT CSDT,UMTDArchiveVendorFiles,PRD Tidal Job UMTDArchiveVendorFiles | 19874782 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Dudekula Ahmad,0,06-27-2025 09:02:23 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/14/2025 12:00:08 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/14/2025 12:00:08 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,06-14-2025 12:00:08 AM,06-16-2025 09:49:36 AM,208168,13
INC1561710,4 - Low,CSDT CSDT,CaptureTranslatedLetterData,PRD Tidal Job CaptureTranslatedLetterData | 20539884 | Completed Abnormally,Closed,ITCS - Clinical Automation,Shristi Malla,0,11-12-2025 03:00:01 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/29/2025 06:21:37 AM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

10/29/2025 06:21:37 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,1,Shristi Malla,10-29-2025 06:21:37 AM,10-30-2025 03:32:40 PM,119463,14
INC1550348,4 - Low,CSDT CSDT,CotivitiProcessResultFile,PRD Tidal Job CotivitiProcessResultFile | 20479394 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Shivani Fulara,0,10-23-2025 04:00:00 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/13/2025 03:46:17 AM - Shivani Fulara (Work notes)
Execution time out issue caused this abnormal completion

10/08/2025 07:16:39 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

10/08/2025 07:16:39 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

",,CSDT,CSDT CSDT,0,Shivani Fulara,10-08-2025 07:16:39 PM,10-13-2025 03:46:17 AM,376178,15
INC1527772,4 - Low,CSDT CSDT,CreateVendorInboundResponseFile,PRD Tidal Job CreateVendorInboundResponseFile | 20237878 | Completed Abnormally,Closed,ITCS - Grievance and Appeals,Shivani Fulara,0,09-10-2025 05:00:01 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/28/2025 08:23:12 AM - Shivani Fulara (Work notes)
ERROR: The transaction log for database 'CareSourceClinical' is full due to 'ACTIVE_TRANSACTION'

08/28/2025 05:07:11 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/28/2025 04:07:05 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/28/2025 03:07:01 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/28/2025 03:07:01 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

08/28/2025 02:06:53 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/28/2025 02:06:53 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT CSDT,CSDT CSDT,1,Shivani Fulara,08-28-2025 02:06:53 AM,08-28-2025 08:23:12 AM,22579,13
INC1515758,4 - Low,CSDT CSDT,CareModel_FACETSToEDI_Load,PRD Tidal Job CareModel_FACETSToEDI_Load | 20132972 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Gaurav Singh,0,08-19-2025 10:00:01 AM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"08/06/2025 08:37:30 AM - Aaron Gwinn (Work notes)
Work notes from INCTASK0284539:

Rerun started.

08/05/2025 09:57:45 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

08/05/2025 09:57:45 PM - CSDT CSDT (Work notes)
Parent:\CareModel\FACETS_Claim_Load\FACETSToEDILoad | Agent: DAYPRDAPP07

",System Administrator,CSDT,CSDT CSDT,0,Gaurav Singh,08-05-2025 09:57:45 PM,08-06-2025 10:31:42 AM,45237,14
INC1485930,4 - Low,CSDT CSDT,ProcessNewUpdatedGeorgiaAuths,PRD Tidal Job ProcessNewUpdatedGeorgiaAuths | 19882788 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Harikrishna Chalamala,0,06-26-2025 04:02:52 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"06/16/2025 03:52:18 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/16/2025 03:52:18 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/16/2025 03:32:09 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/16/2025 03:32:09 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/16/2025 03:11:55 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/16/2025 03:11:55 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/16/2025 02:51:38 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/16/2025 02:51:38 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

06/15/2025 08:26:38 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

06/15/2025 08:26:38 PM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT CSDT,CSDT CSDT,1,Harikrishna Chalamala,06-15-2025 08:26:38 PM,06-16-2025 03:59:55 AM,27197,11
INC1499704,4 - Low,CSDT CSDT,ProcessWorkQueueAssignment,PRD Tidal Job ProcessWorkQueueAssignment | 20030059 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Dudekula Ahmad,0,10-14-2025 11:58:04 AM,tmclemo,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"07/09/2025 03:13:20 AM - Daniel Hill (Work notes)
Work notes from INCTASK0280789:

20030059 now active

07/08/2025 10:52:05 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

07/08/2025 10:52:05 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,07-08-2025 10:52:05 AM,07-09-2025 07:54:51 AM,75766,13
INC1498662,4 - Low,CSDT CSDT,ProcessGrievanceAppealEPSDTeventClosures,PRD Tidal Job ProcessGrievanceAppealEPSDTeventClosures | 19984491 | Completed Abnormally,Closed,MgdSvc-ITCS - Grievance and Appeals,Dudekula Ahmad,0,07-18-2025 04:00:05 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"07/07/2025 12:00:07 AM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

07/07/2025 12:00:07 AM - CSDT CSDT (Work notes)
Parent:\CTS\Microservices | Agent: DAYPRDCISAPP11

",System Administrator,CSDT,CSDT CSDT,0,Dudekula Ahmad,07-07-2025 12:00:07 AM,07-08-2025 07:23:15 AM,112988,11
INC1553316,4 - Low,CSDT CSDT,CaptureTranslatedLetterData,PRD Tidal Job CaptureTranslatedLetterData | 20472528 | Completed Abnormally,Closed,MgdSvc-ITCS - Clinical Automation,Gaurav Singh,0,10-27-2025 04:00:01 PM,ldao,Incident,,Please investigate. Job Output can be found in Tidal. Please see work notes for parent group and agent information.,"10/14/2025 01:01:16 PM - CSDT CSDT (Work notes)
Task auto-reassigned to Managed Services team

10/14/2025 01:01:16 PM - CSDT CSDT (Work notes)
Parent:\CDA\LetterLink | Agent: DAYPRDAPP07

",,CSDT,CSDT CSDT,0,Gaurav Singh,10-14-2025 01:01:16 PM,10-15-2025 05:32:38 AM,59482,13
